cd_uid,province_code,province_name,population_2021,gdp_2021_millions
5919,59,British Columbia,1,10006.121
5959,59,British Columbia,1,10006.121
5917,59,British Columbia,1,10006.121
5941,59,British Columbia,1,10006.121
5957,59,British Columbia,1,10006.121
5905,59,British Columbia,1,10006.121
5951,59,British Columbia,1,10006.121
5945,59,British Columbia,1,10006.121
5924,59,British Columbia,1,10006.121
5901,59,British Columbia,1,10006.121
5909,59,British Columbia,1,10006.121
5921,59,British Columbia,1,10006.121
5939,59,British Columbia,1,10006.121
5949,59,British Columbia,1,10006.121
5931,59,British Columbia,1,10006.121
5907,59,British Columbia,1,10006.121
5937,59,British Columbia,1,10006.121
5929,59,British Columbia,1,10006.121
5935,59,British Columbia,1,10006.121
5933,59,British Columbia,1,10006.121
5953,59,British Columbia,1,10006.121
5947,59,British Columbia,1,10006.121
5923,59,British Columbia,1,10006.121
5926,59,British Columbia,1,10006.121
5955,59,British Columbia,1,10006.121
5943,59,British Columbia,1,10006.121
5903,59,British Columbia,1,10006.121
5915,59,British Columbia,1,10006.121
5927,59,British Columbia,1,10006.121
3516,35,Ontario,1,16678.888
3540,35,Ontario,1,16678.888
3528,35,Ontario,1,16678.888
3546,35,Ontario,1,16678.888
3536,35,Ontario,1,16678.888
3501,35,Ontario,1,16678.888
3549,35,Ontario,1,16678.888
3548,35,Ontario,1,16678.888
3520,35,Ontario,1,16678.888
3557,35,Ontario,1,16678.888
3518,35,Ontario,1,16678.888
3522,35,Ontario,1,16678.888
3539,35,Ontario,1,16678.888
3552,35,Ontario,1,16678.888
3521,35,Ontario,1,16678.888
3506,35,Ontario,1,16678.888
3553,35,Ontario,1,16678.888
3519,35,Ontario,1,16678.888
3530,35,Ontario,1,16678.888
3514,35,Ontario,1,16678.888
3537,35,Ontario,1,16678.888
3543,35,Ontario,1,16678.888
3507,35,Ontario,1,16678.888
3544,35,Ontario,1,16678.888
3524,35,Ontario,1,16678.888
3523,35,Ontario,1,16678.888
3541,35,Ontario,1,16678.888
3532,35,Ontario,1,16678.888
3534,35,Ontario,1,16678.888
3551,35,Ontario,1,16678.888
3531,35,Ontario,1,16678.888
3542,35,Ontario,1,16678.888
3538,35,Ontario,1,16678.888
3512,35,Ontario,1,16678.888
3509,35,Ontario,1,16678.888
3502,35,Ontario,1,16678.888
3511,35,Ontario,1,16678.888
3558,35,Ontario,1,16678.888
3515,35,Ontario,1,16678.888
3529,35,Ontario,1,16678.888
3510,35,Ontario,1,16678.888
3525,35,Ontario,1,16678.888
3560,35,Ontario,1,16678.888
3547,35,Ontario,1,16678.888
3554,35,Ontario,1,16678.888
3556,35,Ontario,1,16678.888
3513,35,Ontario,1,16678.888
3526,35,Ontario,1,16678.888
3559,35,Ontario,1,16678.888
6101,61,Northwest Territories,1,684.233
6102,61,Northwest Territories,1,684.233
6104,61,Northwest Territories,1,684.233
6106,61,Northwest Territories,1,684.233
6103,61,Northwest Territories,1,684.233
6105,61,Northwest Territories,1,684.233
2422,24,Quebec,1,4284.689
2474,24,Quebec,1,4284.689
2419,24,Quebec,1,4284.689
2455,24,Quebec,1,4284.689
2480,24,Quebec,1,4284.689
2491,24,Quebec,1,4284.689
2498,24,Quebec,1,4284.689
2476,24,Quebec,1,4284.689
2423,24,Quebec,1,4284.689
2444,24,Quebec,1,4284.689
2485,24,Quebec,1,4284.689
2487,24,Quebec,1,4284.689
2469,24,Quebec,1,4284.689
2459,24,Quebec,1,4284.689
2475,24,Quebec,1,4284.689
2492,24,Quebec,1,4284.689
2408,24,Quebec,1,4284.689
2411,24,Quebec,1,4284.689
2431,24,Quebec,1,4284.689
2482,24,Quebec,1,4284.689
2449,24,Quebec,1,4284.689
2463,24,Quebec,1,4284.689
2438,24,Quebec,1,4284.689
2477,24,Quebec,1,4284.689
2494,24,Quebec,1,4284.689
2409,24,Quebec,1,4284.689
2418,24,Quebec,1,4284.689
2412,24,Quebec,1,4284.689
2401,24,Quebec,1,4284.689
2442,24,Quebec,1,4284.689
2456,24,Quebec,1,4284.689
2458,24,Quebec,1,4284.689
2493,24,Quebec,1,4284.689
2435,24,Quebec,1,4284.689
2446,24,Quebec,1,4284.689
2429,24,Quebec,1,4284.689
2496,24,Quebec,1,4284.689
2433,24,Quebec,1,4284.689
2452,24,Quebec,1,4284.689
2447,24,Quebec,1,4284.689
2478,24,Quebec,1,4284.689
2461,24,Quebec,1,4284.689
2426,24,Quebec,1,4284.689
2464,24,Quebec,1,4284.689
2457,24,Quebec,1,4284.689
2472,24,Quebec,1,4284.689
2468,24,Quebec,1,4284.689
2440,24,Quebec,1,4284.689
2471,24,Quebec,1,4284.689
2467,24,Quebec,1,4284.689
2450,24,Quebec,1,4284.689
2465,24,Quebec,1,4284.689
2481,24,Quebec,1,4284.689
2416,24,Quebec,1,4284.689
2428,24,Quebec,1,4284.689
2479,24,Quebec,1,4284.689
2404,24,Quebec,1,4284.689
2497,24,Quebec,1,4284.689
2490,24,Quebec,1,4284.689
2473,24,Quebec,1,4284.689
2483,24,Quebec,1,4284.689
2484,24,Quebec,1,4284.689
2460,24,Quebec,1,4284.689
2417,24,Quebec,1,4284.689
2406,24,Quebec,1,4284.689
2414,24,Quebec,1,4284.689
2413,24,Quebec,1,4284.689
2486,24,Quebec,1,4284.689
2495,24,Quebec,1,4284.689
2454,24,Quebec,1,4284.689
2425,24,Quebec,1,4284.689
2415,24,Quebec,1,4284.689
2421,24,Quebec,1,4284.689
2499,24,Quebec,1,4284.689
2489,24,Quebec,1,4284.689
2443,24,Quebec,1,4284.689
2466,24,Quebec,1,4284.689
2470,24,Quebec,1,4284.689
2402,24,Quebec,1,4284.689
2432,24,Quebec,1,4284.689
2451,24,Quebec,1,4284.689
2436,24,Quebec,1,4284.689
2439,24,Quebec,1,4284.689
2410,24,Quebec,1,4284.689
2403,24,Quebec,1,4284.689
2430,24,Quebec,1,4284.689
2405,24,Quebec,1,4284.689
2462,24,Quebec,1,4284.689
2434,24,Quebec,1,4284.689
2420,24,Quebec,1,4284.689
2407,24,Quebec,1,4284.689
2453,24,Quebec,1,4284.689
2488,24,Quebec,1,4284.689
2427,24,Quebec,1,4284.689
2445,24,Quebec,1,4284.689
2441,24,Quebec,1,4284.689
2437,24,Quebec,1,4284.689
2448,24,Quebec,1,4284.689
4601,46,Manitoba,1,2884.204
4623,46,Manitoba,1,2884.204
4610,46,Manitoba,1,2884.204
4608,46,Manitoba,1,2884.204
4620,46,Manitoba,1,2884.204
4605,46,Manitoba,1,2884.204
4621,46,Manitoba,1,2884.204
4607,46,Manitoba,1,2884.204
4616,46,Manitoba,1,2884.204
4622,46,Manitoba,1,2884.204
4614,46,Manitoba,1,2884.204
4611,46,Manitoba,1,2884.204
4602,46,Manitoba,1,2884.204
4603,46,Manitoba,1,2884.204
4617,46,Manitoba,1,2884.204
4615,46,Manitoba,1,2884.204
4618,46,Manitoba,1,2884.204
4609,46,Manitoba,1,2884.204
4613,46,Manitoba,1,2884.204
4619,46,Manitoba,1,2884.204
4604,46,Manitoba,1,2884.204
4612,46,Manitoba,1,2884.204
4606,46,Manitoba,1,2884.204
4710,47,Saskatchewan,1,3948.711
4718,47,Saskatchewan,1,3948.711
4705,47,Saskatchewan,1,3948.711
4711,47,Saskatchewan,1,3948.711
4703,47,Saskatchewan,1,3948.711
4707,47,Saskatchewan,1,3948.711
4716,47,Saskatchewan,1,3948.711
4702,47,Saskatchewan,1,3948.711
4704,47,Saskatchewan,1,3948.711
4706,47,Saskatchewan,1,3948.711
4709,47,Saskatchewan,1,3948.711
4712,47,Saskatchewan,1,3948.711
4714,47,Saskatchewan,1,3948.711
4713,47,Saskatchewan,1,3948.711
4708,47,Saskatchewan,1,3948.711
4715,47,Saskatchewan,1,3948.711
4701,47,Saskatchewan,1,3948.711
4717,47,Saskatchewan,1,3948.711
1203,12,Nova Scotia,1,2338.944
1207,12,Nova Scotia,1,2338.944
1206,12,Nova Scotia,1,2338.944
1213,12,Nova Scotia,1,2338.944
1202,12,Nova Scotia,1,2338.944
1201,12,Nova Scotia,1,2338.944
1214,12,Nova Scotia,1,2338.944
1215,12,Nova Scotia,1,2338.944
1204,12,Nova Scotia,1,2338.944
1211,12,Nova Scotia,1,2338.944
1216,12,Nova Scotia,1,2338.944
1208,12,Nova Scotia,1,2338.944
1218,12,Nova Scotia,1,2338.944
