"Gross domestic product (GDP) at basic prices, by census metropolitan area (CMA) (x 1,000,000) 1 2 3"
"Frequency: Annual"
"Table: 36-10-0468-01 (formerly CANSIM 381-0036)"
"Release date: 2024-11-27"
"Geography: Canada, Province or territory, Census metropolitan area, Census metropolitan area part"
""
""

"Geography","2017","2018","2019","2020","2021"
,"Dollars",,,,
"Canada","1,991,534","2,083,379","2,161,924","2,083,990","2,366,372"
"Newfoundland and Labrador","31,003","31,836","33,159","29,626","35,730"
"St. John's, Newfoundland and Labrador","13,032","13,073","13,272","12,912","13,744"
"Non-census metropolitan areas, Newfoundland and Labrador","17,970","18,763","19,887","16,715","21,986"
"Prince Edward Island","6,156","6,326","6,778","6,810","7,761"
"Nova Scotia","39,329","40,740","42,703","42,218","46,618"
"Halifax, Nova Scotia","21,945","22,790","24,098","24,447","26,967"
"Non-census metropolitan areas, Nova Scotia","17,385","17,950","18,606","17,770","19,652"
"New Brunswick","32,456","33,691","34,495","33,820","37,290"
"Moncton, New Brunswick","7,250","7,611","8,149","8,089","8,893"
"Saint John, New Brunswick","6,354","6,646","6,521","6,367","6,800"
"Fredericton, New Brunswick 4","..","..","..","..","6,286"
"Non-census metropolitan areas, New Brunswick 4","18,852","19,434","19,826","19,364","15,311"
"Quebec","386,407","405,614","425,277","420,699","468,856"
"Saguenay, Quebec","7,021","7,634","8,364","8,509","10,143"
"Québec, Quebec","44,963","46,965","48,544","47,935","52,555"
"Sherbrooke, Quebec","8,559","9,280","9,761","9,415","10,326"
"Trois-Rivières, Quebec","6,655","6,529","6,823","6,886","7,649"
"Drummondville, Quebec 4","..","..","..","..","4,959"
"Montréal, Quebec","211,625","221,893","233,996","228,707","253,901"
"Ottawa – Gatineau, Quebec part, Ontario/Quebec","13,097","13,728","14,786","15,093","16,679"
"Non-census metropolitan areas, Quebec 4","94,487","99,585","103,003","104,155","112,645"
"Ontario","764,465","800,376","833,629","820,962","903,203"
"Ottawa – Gatineau, Ontario part, Ontario/Quebec","67,241","70,086","73,878","74,821","82,014"
"Kingston, Ontario","8,927","9,499","9,409","9,218","10,132"
"Belleville, Ontario","5,057","5,242","5,280","5,115","5,640"
"Peterborough, Ontario","4,796","5,036","5,163","4,904","5,381"
"Oshawa, Ontario","13,246","14,153","14,056","13,842","14,814"
"Toronto, Ontario","405,156","421,676","442,180","430,935","473,663"
"Hamilton, Ontario","34,673","36,720","37,578","37,037","41,169"
"St. Catharines – Niagara, Ontario","15,620","17,088","17,272","17,407","18,716"
"Kitchener – Cambridge – Waterloo, Ontario","29,273","30,467","33,538","32,897","37,144"
"Brantford, Ontario","5,604","5,875","5,984","6,143","6,731"
"Guelph, Ontario","9,641","10,118","10,503","10,583","11,839"
"London, Ontario","25,536","27,799","28,750","27,920","30,635"
"Windsor, Ontario","15,649","15,812","16,359","16,420","18,026"
"Barrie, Ontario","7,786","8,158","8,468","8,654","9,557"
"Greater Sudbury, Ontario","9,527","9,662","10,142","9,713","10,324"
"Thunder Bay, Ontario","6,148","6,338","6,554","6,247","7,256"
"Non-census metropolitan areas, Ontario","100,585","106,645","108,514","109,107","120,162"
"Manitoba","66,007","68,029","69,243","67,965","73,459"
"Winnipeg, Manitoba","43,494","45,286","46,301","45,005","48,388"
"Non-census metropolitan areas, Manitoba","22,513","22,743","22,942","22,960","25,072"
"Saskatchewan","75,302","78,368","79,002","72,672","82,682"
"Regina, Saskatchewan","16,700","18,002","18,460","17,462","19,637"
"Saskatoon, Saskatchewan","19,816","20,848","20,691","20,196","21,859"
"Non-census metropolitan areas, Saskatchewan","38,787","39,518","39,851","35,014","41,186"
"Alberta","319,212","332,659","339,674","290,154","366,736"
"Lethbridge, Alberta","6,432","6,539","6,743","6,785","7,071"
"Calgary, Alberta","104,829","110,470","111,259","102,663","115,136"
"Red Deer, Alberta 4","..","..","..","..","5,781"
"Edmonton, Alberta","87,147","90,485","91,568","87,484","93,271"
"Non-census metropolitan areas, Alberta 4","120,805","125,166","130,104","93,222","145,477"
"British Columbia","260,220","274,392","286,182","287,202","330,874"
"Kelowna, British Columbia","9,659","10,360","10,911","11,267","12,278"
"Kamloops, British Columbia 4","..","..","..","..","6,916"
"Chilliwack, British Columbia 4","..","..","..","..","4,826"
"Abbotsford – Mission, British Columbia","7,205","7,928","8,148","8,367","9,294"
"Vancouver, British Columbia","145,756","154,280","163,475","163,772","183,140"
"Victoria, British Columbia","20,464","21,509","22,758","22,517","24,285"
"Nanaimo, British Columbia 4","..","..","..","..","5,789"
"Non-census metropolitan areas, British Columbia 4","77,136","80,315","80,891","81,279","84,345"
"Yukon","2,781","2,881","2,960","3,131","3,496"
"Northwest Territories","4,477","4,551","4,503","4,017","4,577"
"Nunavut","2,970","3,098","3,507","3,993","4,323"
"Canadian territorial enclaves abroad","748","818","811","719","765"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"All census metropolitan area (CMA) and non-CMA gross domestic product (GDP) add up to the provincial GDP figures in current prices. However, there may be a lag between the CMA figures and the latest available provincial GDP measures."
2,"Gross domestic product (GDP) per capita can be estimated by dividing GDP by population. Population estimates by census metropolitan area and non-metropolitan area are available in tables 17-10-0005 and 17-10-0135."
3,"This table reflects the conversion of the experimental estimates for 2001 to 2009 published in table 36-10-0423 in November 2014 into an annual product. Moving forward, the annual publication cycle will lag the reference year by approximately three and a half years, in line with the publication of the supply and use tables (table 36-10-0478). Due to differences in methodology, the estimates may not be fully coherent with the experimental estimates."
4,"Fredericton, Drummondville, Red Deer, Kamloops, Chilliwack and Nanaimo have been added as new census metropolitan areas in 2021. The 2021 non-census metropolitan area estimates are not directly comparable with non-census metropolitan area estimates of prior years in provinces that have new census metropolitan areas in 2021. Summing the new census metropolitan areas with the non-census metropolitan area estimates in 2021 will provide comparable results to the 2020 non-census metropolitan area estimates."



"How to cite: Statistics Canada. Table 36-10-0468-01  Gross domestic product (GDP) at basic prices, by census metropolitan area (CMA) (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610046801
